word,frequency,definition
chew,7.0,"to crush, grind, or gnaw (something, such as food) with or as if with the teeth masticate"
chicken,18.0,the common domestic fowl (Gallus gallus) especially when young
chief,132.0,accorded highest rank or office
child,141.0,a young person especially between infancy and puberty
childhood,12.0,the state or period of being a child
children,76.0,a young person especially between infancy and puberty
chilly,3.0,noticeably cold chilling a chilly day
chin,13.0,the lower portion of the face lying below the lower lip and including the prominence of the lower jaw
chip,12.0,"a small usually thin and flat piece (as of wood or stone) cut, struck, or flaked off"
chocolate,13.0,a beverage made by mixing chocolate with water or milk
choice,105.0,the act of choosing selection finding it hard to make a choice
choke,11.0,to check or block normal breathing of by compressing or obstructing the trachea or by poisoning or adulterating available air
choose,91.0,to select freely and after consideration
chop,6.0,to cut into or sever usually by repeated blows of a sharp instrument
Christmas,17.0,a Christian feast on December 25 or among some Eastern Orthodox Christians on January 7 that commemorates the birth of Christ and is usually observed as a legal holiday
church,61.0,a building for public and especially Christian worship
circle,57.0,"ring, halo"
circumstance,38.0,"a condition, fact, or event accompanying, conditioning, or determining another an essential or inevitable concomitant the weather is a circumstance to be taken into consideration"
citation,6.0,an official summons to appear (as before a court)
citizen,20.0,an inhabitant of a city or town
city,149.0,"an inhabited place of greater size, population, or importance than a town or village"
civil,78.0,of or relating to citizens
claim,112.0,to ask for especially as a right
clap,2.0,"to strike (two things, such as two flat, hard surfaces) together so as to produce a sharp percussive noise"
clarify,17.0,to make understandable
class,195.0,a body of students meeting regularly to study the same subject
classic,12.0,serving as a standard of excellence of recognized value
classify,11.0,to arrange in classes (see class entry 1 sense 3)
clause,30.0,a group of words containing a subject and predicate and functioning as a member of a complex (see complex entry 2 sense 1b(2)) or compound (see compound entry 2 sense 3b) sentence
clay,21.0,"an earthy material that is plastic when moist but hard when fired, that is composed mainly of fine particles of hydrous aluminum silicates and other minerals, and that is used for brick, tile, and pottery"
clean,93.0,free from dirt or pollution
clear,256.0,"bright, luminous bonfires clear and bright— Shakespeare"
clever,36.0,skillful or adroit in using the hands or body nimble clever fingers
click,12.0,"to strike, move, or produce with a click"
cliff,7.0,"a very steep, vertical, or overhanging face of rock, earth, or ice precipice"
climate,27.0,a region of the earth having specified climatic conditions
climb,15.0,"to go upward with gradual or continuous progress rise, ascend watching the smoke climb"
clinic,5.0,a class of medical instruction in which patients are examined and discussed
clock,44.0,a device other than a watch for indicating or measuring time commonly by means of hands moving on a dial
close,362.0,to move so as to bar passage through something
closet,10.0,an apartment or small room for privacy
cloth,123.0,"a pliable material made usually by weaving, felting, or knitting natural or synthetic fibers and filaments"
clothes,76.0,clothing I need new clothes for the winter.
clothing,168.0,garments in general
cloud,26.0,a visible mass of particles of condensed vapor (such as water or ice) suspended in the atmosphere of a planet (such as the earth) or moon
cloudy,14.0,"of, relating to, or resembling cloud cloudy smoke"
club,40.0,a heavy usually tapering staff especially of wood wielded as a weapon
coach,34.0,a large usually closed four-wheeled horse-drawn carriage having doors in the sides and an elevated seat in front for the driver
coal,50.0,a piece of glowing carbon or charred wood ember
coast,22.0,the land near a shore seashore
coat,72.0,an outer garment worn on the upper body and varying in length and style according to fashion and use
cockpit,1.0,a pit or enclosure for cockfights
code,49.0,a systematic statement of a body of law
coffee,22.0,"a beverage made by percolation, infusion, or decoction from the roasted and ground seeds of a coffee plant"
coherent,19.0,logically or aesthetically ordered or integrated consistent coherent style a coherent argument
coin,51.0,"corner, cornerstone, quoin"
cold,140.0,having or being a temperature that is uncomfortably low for humans
collapse,31.0,to fall or shrink together abruptly and completely fall into a jumbled or flattened mass through the force of external pressure
collar,21.0,"a band, strip, or chain worn around the necksuch as"
collect,41.0,"a short prayer comprising an invocation, petition, and conclusion"
collection,65.0,the act or process of collecting the collection of data the collection of taxes
college,84.0,a body of clergy living together and supported by a foundation
color,457.0,"a phenomenon of light (such as red, brown, pink, or gray) or visual perception that enables one to differentiate otherwise identical objects"
column,44.0,a vertical arrangement of items printed or written on a page
comb,15.0,"a toothed instrument used especially for adjusting, cleaning, or confining hair"
combination,93.0,a result or product of combining Water is a combination of hydrogen and oxygen.
combine,40.0,to bring into such close relationship as to obscure individual characters merge two companies combining forces
come,530.0,to move toward something approach Come here.
comedy,6.0,a medieval narrative that ends happily
